Unfairness weight,Local cost weight,Global cost weight
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8
0.0,0.2,0.8

